MPAnoIso,Signal Peptide (PredSi),Signal Peptide (SignalP),Signal Peptide (Phobius),SPC,cirfessScore,Topology
A0A024RBG1,No,No,No,0,0,No
A0A075B6H9,Yes,Yes,Yes,0,0,No
A0A075B6I0,Yes,Yes,Yes,0,0,No
A0A075B6I1,Yes,Yes,Yes,0,0,No
A0A075B6I4,Yes,Yes,Yes,0,5,No
A0A075B6I9,Yes,Yes,Yes,0,0,No
A0A075B6J1,Yes,Yes,Yes,0,3,No
A0A075B6J6,Yes,Yes,Yes,0,4,No
A0A075B6J9,Yes,Yes,Yes,0,1,No
A0A075B6K0,Yes,Yes,Yes,0,0,No
A0A075B6K2,Yes,Yes,Yes,0,0,No
A0A075B6K4,Yes,Yes,Yes,0,0,No
A0A075B6K5,Yes,Yes,Yes,0,0,No
A0A075B6K6,Yes,Yes,Yes,0,0,No
A0A075B6N1,Yes,Yes,Yes,0,6,No
A0A075B6N2,Yes,Yes,Yes,0,0,No
A0A075B6N3,Yes,Yes,Yes,0,3,No
A0A075B6N4,No,Yes,Yes,0,6,No
A0A075B6P5,Yes,Yes,Yes,0,0,No
A0A075B6Q5,Yes,Yes,Yes,0,0,No
A0A075B6R2,Yes,Yes,Yes,0,0,No
A0A075B6S2,Yes,Yes,Yes,0,0,No
A0A075B6S4,Yes,Yes,Yes,0,0,No
A0A075B6S5,Yes,Yes,Yes,0,0,No
A0A075B6S6,Yes,Yes,Yes,0,0,No
A0A075B6T6,Yes,Yes,Yes,0,5,No
A0A075B6T7,Yes,Yes,Yes,0,12,No
A0A075B6T8,Yes,Yes,Yes,0,0,No
A0A075B6U4,Yes,Yes,Yes,0,11,No
A0A075B6V5,Yes,Yes,Yes,0,8,No
A0A075B6W5,Yes,Yes,Yes,0,6,No
A0A075B6X5,Yes,Yes,Yes,0,6,No
A0A075B6Y3,No,No,No,0,0,No
A0A075B759,No,No,No,0,0,No
A0A087WPF7,No,No,No,0,0,No
A0A087WSX0,Yes,Yes,Yes,0,0,No
A0A087WSY4,Yes,Yes,Yes,0,0,No
A0A087WSY6,Yes,Yes,Yes,0,0,No
A0A087WSZ0,Yes,Yes,Yes,0,0,No
A0A087WSZ9,Yes,Yes,Yes,0,6,No
A0A087WT01,No,Yes,Yes,0,2,No
A0A087WT02,Yes,Yes,Yes,0,3,No
A0A087WT03,No,Yes,Yes,0,10,No
A0A087WTH1,Yes,No,No,0,0,No
A0A087WTH5,Yes,No,No,0,22,No
A0A087WUL8,No,No,No,0,11,No
A0A087WV62,Yes,Yes,Yes,0,0,No
A0A087WVF3,No,No,No,0,0,No
A0A087WW87,Yes,Yes,Yes,0,0,No
A0A087WX78,No,No,No,0,0,No
A0A087WXM9,No,No,No,0,0,No
A0A087WXS9,No,No,No,0,0,No
A0A087X0M5,Yes,Yes,Yes,0,0,No
A0A087X179,No,No,No,0,0,No
A0A087X1C5,No,No,No,0,12,Yes
A0A087X1G2,No,No,No,0,0,No
A0A088MLT8,No,No,No,0,0,No
A0A096LNP1,Yes,Yes,Yes,0,0,No
A0A096LP01,No,No,No,0,0,No
A0A096LP49,No,No,No,0,0,No
A0A096LP55,No,No,No,0,0,No
A0A096LPI5,No,No,No,0,0,No
A0A096MJY4,No,No,No,0,0,No
A0A096MJZ0,No,No,No,0,0,No
A0A096MK47,No,No,No,0,0,No
A0A0A0MRZ7,Yes,Yes,Yes,0,0,No
A0A0A0MRZ8,Yes,Yes,Yes,0,0,No
A0A0A0MRZ9,Yes,Yes,Yes,0,0,No
A0A0A0MS14,Yes,Yes,Yes,0,0,No
A0A0A0MS15,Yes,Yes,Yes,0,0,No
A0A0A0MT36,Yes,Yes,Yes,0,0,No
A0A0A0MT76,No,No,No,0,0,No
A0A0A0MT89,No,No,No,0,0,No
A0A0A6YXX9,Yes,Yes,Yes,0,80,No
A0A0A6YY25,No,No,No,0,0,No
A0A0A6YYC5,Yes,Yes,Yes,0,9,No
A0A0A6YYD4,Yes,Yes,Yes,0,3,No
A0A0A6YYG2,Yes,Yes,Yes,0,6,No
A0A0A6YYG3,Yes,Yes,Yes,0,6,No
A0A0A6YYJ7,Yes,Yes,Yes,0,5,No
A0A0A6YYK1,Yes,Yes,Yes,0,2,No
A0A0A6YYK6,Yes,Yes,Yes,0,6,No
A0A0A6YYK7,Yes,Yes,Yes,0,3,No
A0A0A6YYL3,No,No,No,0,0,No
A0A0B4J1F4,No,No,No,0,0,No
A0A0B4J1G0,Yes,Yes,Yes,0,42,Yes
A0A0B4J1L0,No,Yes,Yes,0,18,No
A0A0B4J1N3,Yes,Yes,Yes,0,6,No
A0A0B4J1U3,Yes,Yes,Yes,0,5,No
